member_id,eligible_date,baseline_tier,mature,exposed,live_started,live_engaged,returned,live_error
member_00177,2026-08-19,occasional,1,1,1,0,1,0
member_00178,2026-08-25,frequent,0,1,0,0,0,0
member_00179,2026-08-09,occasional,1,0,0,0,0,0
member_00180,2026-08-02,frequent,1,1,0,0,1,0
member_00181,2026-08-28,occasional,0,0,0,0,0,0
member_00182,2026-08-01,frequent,1,1,0,0,0,0
member_00183,2026-08-15,occasional,1,0,0,0,0,0
member_00184,2026-08-24,frequent,0,1,1,0,0,1
member_00185,2026-08-14,occasional,1,0,0,0,1,0
member_00186,2026-08-13,frequent,1,1,1,1,1,0
member_00187,2026-08-21,occasional,1,0,0,0,1,0
member_00188,2026-08-26,frequent,0,1,1,0,0,0
member_00189,2026-08-22,occasional,0,1,1,1,0,1
member_00190,2026-08-07,frequent,1,0,0,0,1,0
member_00191,2026-08-14,occasional,1,0,0,0,0,0
member_00192,2026-08-07,frequent,1,1,1,1,1,0
member_00193,2026-08-01,occasional,1,0,0,0,0,0
member_00194,2026-08-12,frequent,1,1,0,0,0,0
member_00195,2026-08-02,occasional,1,1,1,0,1,0
member_00196,2026-08-12,frequent,1,0,0,0,1,0
member_00197,2026-08-06,occasional,1,0,0,0,0,0
member_00198,2026-08-24,frequent,0,0,0,0,1,0
member_00199,2026-08-13,occasional,1,1,1,1,0,0
member_00200,2026-08-13,frequent,1,1,1,0,0,0
member_00201,2026-08-19,occasional,1,0,0,0,0,0
member_00202,2026-08-05,frequent,1,0,0,0,0,0
member_00203,2026-08-04,occasional,1,0,0,0,0,0
member_00204,2026-08-06,frequent,1,1,0,0,0,0
member_00205,2026-08-21,occasional,1,0,0,0,0,0
member_00206,2026-08-08,frequent,1,1,1,1,1,0
member_00207,2026-08-25,occasional,0,0,0,0,0,0
member_00208,2026-08-19,frequent,1,0,0,0,1,0
member_00209,2026-08-22,occasional,0,1,1,0,0,0
member_00210,2026-08-09,frequent,1,1,0,0,0,0
member_00211,2026-08-01,occasional,1,1,0,0,1,0
member_00212,2026-08-12,frequent,1,1,1,1,0,0
member_00213,2026-08-09,occasional,1,1,1,1,1,0
member_00214,2026-08-16,frequent,1,1,1,1,0,1
member_00215,2026-08-04,occasional,1,0,0,0,0,0
member_00216,2026-08-15,frequent,1,0,0,0,1,0
member_00217,2026-08-20,occasional,1,0,0,0,0,0
member_00218,2026-08-16,frequent,1,1,1,0,1,0
member_00219,2026-08-20,occasional,1,0,0,0,0,0
member_00220,2026-08-27,frequent,0,1,1,1,0,0
member_00221,2026-08-25,occasional,0,0,0,0,0,0
member_00222,2026-08-25,frequent,0,1,1,1,0,0
member_00223,2026-08-16,occasional,1,0,0,0,0,0
member_00224,2026-08-21,frequent,1,1,1,1,0,0
member_00225,2026-08-01,occasional,1,0,0,0,1,0
member_00226,2026-08-23,frequent,0,1,1,0,1,0
member_00227,2026-08-14,occasional,1,0,0,0,0,0
member_00228,2026-08-20,frequent,1,1,0,0,1,0
member_00229,2026-08-25,occasional,0,1,1,0,0,0
member_00230,2026-08-06,frequent,1,1,0,0,1,0
member_00231,2026-08-03,occasional,1,0,0,0,0,0
member_00232,2026-08-13,frequent,1,1,1,0,1,0
member_00233,2026-08-20,occasional,1,0,0,0,1,0
member_00234,2026-08-27,frequent,0,1,0,0,0,0
member_00235,2026-08-14,occasional,1,0,0,0,1,0
member_00236,2026-08-02,frequent,1,0,0,0,1,0
member_00237,2026-08-07,occasional,1,0,0,0,0,0
member_00238,2026-08-12,frequent,1,1,1,1,0,0
member_00239,2026-08-21,occasional,1,0,0,0,0,0
member_00240,2026-08-27,frequent,0,1,0,0,0,0
member_00241,2026-08-04,occasional,1,1,1,1,1,0
member_00242,2026-08-12,frequent,1,1,1,0,1,0
member_00243,2026-08-23,occasional,0,0,0,0,0,0
member_00244,2026-08-22,frequent,0,1,0,0,1,0
member_00245,2026-08-16,occasional,1,0,0,0,0,0
member_00246,2026-08-15,frequent,1,1,1,1,1,0
member_00247,2026-08-10,occasional,1,0,0,0,0,0
member_00248,2026-08-11,frequent,1,1,1,1,1,0
member_00249,2026-08-10,occasional,1,1,1,1,0,0
member_00250,2026-08-19,frequent,1,1,1,1,0,0
member_00251,2026-08-18,occasional,1,0,0,0,0,0
member_00252,2026-08-26,frequent,0,1,0,0,0,0
member_00253,2026-08-03,occasional,1,0,0,0,1,0
member_00254,2026-08-16,frequent,1,1,1,1,1,0
member_00255,2026-08-26,occasional,0,0,0,0,0,0
member_00256,2026-08-15,frequent,1,1,1,0,1,0
member_00257,2026-08-11,occasional,1,0,0,0,0,0
member_00258,2026-08-17,frequent,1,1,1,1,0,0
member_00259,2026-08-26,occasional,0,0,0,0,0,0
member_00260,2026-08-03,frequent,1,1,0,0,1,0
member_00261,2026-08-04,occasional,1,0,0,0,0,0
member_00262,2026-08-17,frequent,1,1,1,1,1,0
member_00263,2026-08-03,occasional,1,0,0,0,0,0
member_00264,2026-08-15,frequent,1,0,0,0,1,0
member_00265,2026-08-17,occasional,1,0,0,0,0,0
member_00266,2026-08-13,frequent,1,1,1,0,1,0
member_00267,2026-08-19,occasional,1,0,0,0,0,0
member_00268,2026-08-16,frequent,1,1,0,0,0,0
member_00269,2026-08-07,occasional,1,0,0,0,0,0
member_00270,2026-08-19,frequent,1,1,1,1,1,0
member_00271,2026-08-13,occasional,1,0,0,0,0,0
member_00272,2026-08-14,frequent,1,1,0,0,1,0
member_00273,2026-08-12,occasional,1,0,0,0,0,0
member_00274,2026-08-25,frequent,0,1,1,1,0,0
member_00275,2026-08-02,occasional,1,0,0,0,1,0
member_00276,2026-08-15,frequent,1,1,0,0,1,0
member_00277,2026-08-26,occasional,0,0,0,0,0,0
member_00278,2026-08-28,frequent,0,1,1,0,0,0
member_00279,2026-08-20,occasional,1,0,0,0,0,0
member_00280,2026-08-19,frequent,1,1,1,1,1,0
member_00281,2026-08-16,occasional,1,0,0,0,0,0
member_00282,2026-08-13,frequent,1,1,1,1,0,0
member_00283,2026-08-27,occasional,0,0,0,0,0,0
member_00284,2026-08-24,frequent,0,1,0,0,0,0
member_00285,2026-08-10,occasional,1,0,0,0,0,0
member_00286,2026-08-06,frequent,1,0,0,0,1,0
member_00287,2026-08-26,occasional,0,0,0,0,0,0
member_00288,2026-08-08,frequent,1,1,1,1,0,0
member_00289,2026-08-09,occasional,1,1,1,0,0,0
member_00290,2026-08-24,frequent,0,1,1,1,0,0
member_00291,2026-08-26,occasional,0,0,0,0,0,0
member_00292,2026-08-14,frequent,1,0,0,0,1,0
member_00293,2026-08-08,occasional,1,1,1,0,0,0
member_00294,2026-08-03,frequent,1,1,0,0,0,0
member_00295,2026-08-11,occasional,1,0,0,0,1,0
member_00296,2026-08-16,frequent,1,1,1,0,1,0
member_00297,2026-08-16,occasional,1,0,0,0,0,0
member_00298,2026-08-19,frequent,1,1,0,0,1,0
member_00299,2026-08-13,occasional,1,0,0,0,1,0
member_00300,2026-08-06,frequent,1,0,0,0,1,0
member_00301,2026-08-10,occasional,1,0,0,0,0,0
member_00302,2026-08-24,frequent,0,1,1,1,1,0
member_00303,2026-08-24,occasional,0,0,0,0,0,0
member_00304,2026-08-16,frequent,1,1,1,1,1,0
member_00305,2026-08-11,occasional,1,0,0,0,0,0
member_00306,2026-08-23,frequent,0,1,1,0,0,1
member_00307,2026-08-19,occasional,1,0,0,0,0,0
member_00308,2026-08-22,frequent,0,1,1,1,1,0
member_00309,2026-08-05,occasional,1,0,0,0,0,0
member_00310,2026-08-21,frequent,1,1,1,0,1,0
member_00311,2026-08-17,occasional,1,0,0,0,0,0
member_00312,2026-08-03,frequent,1,1,0,0,1,0
member_00313,2026-08-09,occasional,1,0,0,0,0,0
member_00314,2026-08-01,frequent,1,1,1,0,1,0
member_00315,2026-08-24,occasional,0,1,1,1,0,0
member_00316,2026-08-20,frequent,1,1,0,0,1,0
member_00317,2026-08-17,occasional,1,0,0,0,1,0
member_00318,2026-08-18,frequent,1,1,1,0,1,0
member_00319,2026-08-22,occasional,1,0,0,0,0,0
member_00320,2026-08-28,frequent,0,0,0,0,0,0
member_00321,2026-08-20,occasional,1,0,0,0,0,0
member_00322,2026-08-11,frequent,1,1,1,1,1,0
member_00323,2026-08-23,occasional,0,1,0,0,0,0
member_00324,2026-08-05,frequent,1,1,0,0,1,0
member_00325,2026-08-20,occasional,1,0,0,0,1,0
member_00326,2026-08-21,frequent,1,1,1,0,1,0
member_00327,2026-08-26,occasional,0,0,0,0,0,0
member_00328,2026-08-01,frequent,1,1,0,0,1,0
member_00329,2026-08-22,occasional,0,0,0,0,0,0
member_00330,2026-08-23,frequent,0,1,1,1,0,0
member_00331,2026-08-26,occasional,0,0,0,0,0,0
member_00332,2026-08-20,frequent,1,1,1,1,1,0
member_00333,2026-08-12,occasional,1,0,0,0,0,0
member_00334,2026-08-05,frequent,1,1,1,1,1,0
member_00335,2026-08-18,occasional,1,1,0,0,1,0
member_00336,2026-08-01,frequent,1,1,0,0,1,0
member_00337,2026-08-23,occasional,0,1,1,1,0,0
member_00338,2026-08-09,frequent,1,0,0,0,1,0
member_00339,2026-08-22,occasional,0,1,1,1,0,0
member_00340,2026-08-18,frequent,1,1,1,0,1,0
member_00341,2026-08-03,occasional,1,1,1,1,0,0
member_00342,2026-08-10,frequent,1,1,1,0,1,0
member_00343,2026-08-03,occasional,1,0,0,0,0,0
member_00344,2026-08-20,frequent,1,0,0,0,1,0
member_00345,2026-08-12,occasional,1,1,1,1,0,1
member_00346,2026-08-02,frequent,1,1,1,0,1,0
member_00347,2026-08-23,occasional,0,1,1,1,0,0
member_00348,2026-08-27,frequent,0,0,0,0,0,0
member_00349,2026-08-15,occasional,1,0,0,0,0,0
member_00350,2026-08-09,frequent,1,1,1,1,1,0
member_00351,2026-08-05,occasional,1,0,0,0,0,0
member_00352,2026-08-17,frequent,1,1,1,1,1,0
member_00353,2026-08-15,occasional,1,0,0,0,1,0
member_00354,2026-08-16,frequent,1,0,0,0,0,0
member_00355,2026-08-23,occasional,0,1,1,1,0,0
member_00356,2026-08-10,frequent,1,1,0,0,1,0
member_00357,2026-08-18,occasional,1,0,0,0,1,0
member_00358,2026-08-28,frequent,0,1,0,0,0,0
member_00359,2026-08-25,occasional,0,0,0,0,0,0
member_00360,2026-08-24,frequent,0,1,1,1,0,0
member_00361,2026-08-10,occasional,1,0,0,0,1,0
member_00362,2026-08-06,frequent,1,1,1,1,1,0
member_00363,2026-08-24,occasional,0,0,0,0,0,0
member_00364,2026-08-05,frequent,1,1,1,0,1,0
member_00365,2026-08-24,occasional,0,1,0,0,0,0
member_00366,2026-08-15,frequent,1,1,1,1,0,0
member_00367,2026-08-18,occasional,1,0,0,0,0,0
member_00368,2026-08-27,frequent,0,1,1,0,0,1
member_00369,2026-08-15,occasional,1,0,0,0,0,0
member_00370,2026-08-17,frequent,1,1,1,1,0,0
member_00371,2026-08-27,occasional,0,0,0,0,0,0
member_00372,2026-08-01,frequent,1,1,1,1,1,1
member_00373,2026-08-02,occasional,1,0,0,0,0,0
member_00374,2026-08-11,frequent,1,1,1,1,1,0
member_00375,2026-08-24,occasional,0,0,0,0,0,0
member_00376,2026-08-05,frequent,1,1,1,0,1,0
member_00377,2026-08-15,occasional,1,1,1,0,1,0
member_00378,2026-08-05,frequent,1,1,1,1,1,0
member_00379,2026-08-09,occasional,1,0,0,0,0,0
member_00380,2026-08-17,frequent,1,1,1,0,0,0
member_00381,2026-08-17,occasional,1,1,1,0,1,0
member_00382,2026-08-21,frequent,1,1,0,0,1,0
member_00383,2026-08-17,occasional,1,1,0,0,0,0
member_00384,2026-08-19,frequent,1,1,0,0,0,0
member_00385,2026-08-25,occasional,0,1,1,1,0,0
member_00386,2026-08-05,frequent,1,1,0,0,1,0
member_00387,2026-08-10,occasional,1,0,0,0,0,0
member_00388,2026-08-19,frequent,1,1,1,0,0,0
member_00389,2026-08-10,occasional,1,0,0,0,0,0
member_00390,2026-08-03,frequent,1,1,1,0,1,0
member_00391,2026-08-07,occasional,1,1,0,0,0,0
member_00392,2026-08-04,frequent,1,1,1,0,0,0
member_00393,2026-08-19,occasional,1,0,0,0,0,0
member_00394,2026-08-28,frequent,0,0,0,0,0,0
member_00395,2026-08-03,occasional,1,0,0,0,0,0
member_00396,2026-08-27,frequent,0,1,1,0,0,0
member_00397,2026-08-14,occasional,1,0,0,0,0,0
member_00398,2026-08-15,frequent,1,1,0,0,1,0
member_00399,2026-08-15,occasional,1,0,0,0,1,0
member_00400,2026-08-20,frequent,1,1,0,0,1,0
member_00401,2026-08-02,occasional,1,0,0,0,1,0
member_00402,2026-08-24,frequent,0,0,0,0,1,0
member_00403,2026-08-28,occasional,0,0,0,0,0,0
member_00404,2026-08-04,frequent,1,1,1,0,1,0
member_00405,2026-08-09,occasional,1,0,0,0,0,0
member_00406,2026-08-01,frequent,1,1,0,0,1,0
member_00407,2026-08-06,occasional,1,0,0,0,0,0
member_00408,2026-08-05,frequent,1,0,0,0,1,0
member_00409,2026-08-19,occasional,1,0,0,0,1,0
member_00410,2026-08-06,frequent,1,1,0,0,1,0
member_00411,2026-08-08,occasional,1,1,0,0,1,0
member_00412,2026-08-20,frequent,1,1,1,0,1,0
member_00413,2026-08-05,occasional,1,0,0,0,0,0
member_00414,2026-08-11,frequent,1,1,1,1,1,0
member_00415,2026-08-27,occasional,0,0,0,0,0,0
member_00416,2026-08-12,frequent,1,1,1,0,1,0
member_00417,2026-08-12,occasional,1,0,0,0,0,0
member_00418,2026-08-03,frequent,1,1,0,0,1,0
member_00419,2026-08-04,occasional,1,0,0,0,0,0
member_00420,2026-08-21,frequent,1,1,0,0,1,0
member_00421,2026-08-18,occasional,1,1,1,0,0,0
member_00422,2026-08-01,frequent,1,1,0,0,1,0
member_00423,2026-08-16,occasional,1,0,0,0,1,0
member_00424,2026-08-05,frequent,1,1,1,1,0,0
member_00425,2026-08-28,occasional,0,0,0,0,0,0
member_00426,2026-08-03,frequent,1,1,1,1,1,0
member_00427,2026-08-23,occasional,0,0,0,0,1,0
member_00428,2026-08-20,frequent,1,1,1,0,1,0
member_00429,2026-08-23,occasional,0,0,0,0,0,0
member_00430,2026-08-21,frequent,1,1,0,0,1,0
member_00431,2026-08-18,occasional,1,0,0,0,0,0
member_00432,2026-08-21,frequent,1,1,1,0,1,0
member_00433,2026-08-12,occasional,1,0,0,0,1,0
member_00434,2026-08-02,frequent,1,1,1,1,1,0
member_00435,2026-08-26,occasional,0,1,1,0,0,0
member_00436,2026-08-14,frequent,1,1,1,1,1,0
member_00437,2026-08-04,occasional,1,0,0,0,1,0
member_00438,2026-08-20,frequent,1,1,0,0,1,0
member_00439,2026-08-24,occasional,0,1,1,0,0,0
member_00440,2026-08-13,frequent,1,1,0,0,0,0
member_00441,2026-08-04,occasional,1,1,1,1,0,0
member_00442,2026-08-20,frequent,1,1,0,0,1,0
member_00443,2026-08-19,occasional,1,0,0,0,0,0
member_00444,2026-08-11,frequent,1,1,1,0,1,0
member_00445,2026-08-20,occasional,1,0,0,0,1,0
member_00446,2026-08-21,frequent,1,1,1,0,0,0
member_00447,2026-08-11,occasional,1,0,0,0,1,0
member_00448,2026-08-11,frequent,1,0,0,0,0,0
member_00449,2026-08-26,occasional,0,0,0,0,0,0
member_00450,2026-08-23,frequent,0,0,0,0,0,0
member_00451,2026-08-09,occasional,1,0,0,0,1,0
member_00452,2026-08-10,frequent,1,1,1,1,1,0
member_00453,2026-08-14,occasional,1,1,1,1,0,0
member_00454,2026-08-13,frequent,1,0,0,0,1,0
member_00455,2026-08-13,occasional,1,1,1,0,0,0
member_00456,2026-08-20,frequent,1,1,1,1,0,0
member_00457,2026-08-25,occasional,0,1,1,1,0,0
member_00458,2026-08-12,frequent,1,1,1,1,0,0
member_00459,2026-08-16,occasional,1,0,0,0,0,0
member_00460,2026-08-28,frequent,0,0,0,0,0,0
member_00461,2026-08-04,occasional,1,1,1,1,0,0
member_00462,2026-08-19,frequent,1,1,1,1,1,0
member_00463,2026-08-26,occasional,0,0,0,0,0,0
member_00464,2026-08-28,frequent,0,1,1,0,0,0
member_00465,2026-08-24,occasional,0,0,0,0,0,0
member_00466,2026-08-06,frequent,1,1,1,0,0,0
member_00467,2026-08-08,occasional,1,0,0,0,1,0
member_00468,2026-08-06,frequent,1,1,1,1,0,0
member_00469,2026-08-07,occasional,1,0,0,0,0,0
member_00470,2026-08-21,frequent,1,0,0,0,1,0
member_00471,2026-08-21,occasional,1,1,1,1,1,0
member_00472,2026-08-25,frequent,0,1,0,0,0,0
member_00473,2026-08-18,occasional,1,0,0,0,0,0
member_00474,2026-08-05,frequent,1,1,1,0,1,0
member_00475,2026-08-13,occasional,1,0,0,0,0,0
member_00476,2026-08-04,frequent,1,1,1,1,0,0
member_00477,2026-08-22,occasional,0,0,0,0,0,0
member_00478,2026-08-01,frequent,1,1,0,0,1,0
member_00479,2026-08-23,occasional,0,1,1,0,0,0
member_00480,2026-08-01,frequent,1,1,1,0,1,0
member_00481,2026-08-24,occasional,0,0,0,0,0,0
member_00482,2026-08-19,frequent,1,1,0,0,1,0
member_00483,2026-08-20,occasional,1,1,1,1,0,1
member_00484,2026-08-12,frequent,1,1,0,0,1,0
member_00485,2026-08-14,occasional,1,0,0,0,0,0
member_00486,2026-08-19,frequent,1,1,1,1,0,1
member_00487,2026-08-05,occasional,1,0,0,0,0,0
member_00488,2026-08-23,frequent,0,1,1,1,1,0
member_00489,2026-08-08,occasional,1,0,0,0,0,0
member_00490,2026-08-03,frequent,1,1,0,0,1,0
member_00491,2026-08-14,occasional,1,1,1,1,1,0
member_00492,2026-08-17,frequent,1,1,1,0,1,0
member_00493,2026-08-28,occasional,0,0,0,0,0,0
member_00494,2026-08-23,frequent,0,0,0,0,0,0
member_00495,2026-08-02,occasional,1,0,0,0,1,0
member_00496,2026-08-18,frequent,1,1,1,1,0,0
